ADDRESS,PRINCIPAL DUE, 
2000 N MARSTON ST ,351.79, 
2000 S BEECHWOOD ST ,13523.2, 
2001 N 54TH ST ,147478.46, 
2001 W HUNTING PARK AVE ,6231.52, 
2002 N ORIANNA ST ,1713.27, 
2003 S BUCKNELL ST ,4327.58, 
2004 E DAUPHIN ST ,1922.22, 
2005 S CROSKEY ST ,3813.03, 
2005 S OPAL ST ,2406.23, 
2006 NEWCOMB ST ,5434.54, 
2006 S 07TH ST ,2621.79, 
2006 S 68TH ST ,5476.73, 
2006 W GODFREY AVE ,11594.52, 
2007 E DAUPHIN ST ,1830.33, 
2007 S GARNET ST ,10995.28, 
2007 S NORWOOD ST ,9987.53, 
2008 W SPENCER AVE ,15236.78, 
2009 DENNIE ST ,5914.69, 
2009 W SPENCER AVE ,7696.72, 
201 W WESTMORELAND ST ,7165.75, 
2010 66TH AVE ,1385.5, 
2010 MIFFLIN ST ,4778.62, 
2010 S 23RD ST ,2140.86, 
2010 S SIMPSON ST ,4667.39, 
2010 W GODFREY AVE ,9474.41, 
2011 E BIRCH ST ,4270.17, 
2011 N MARSTON ST ,1317.14, 
2011 REED ST ,3053.39, 
2011 S NORWOOD ST ,6587.74, 
2012 MASTER ST ,1227.75, 
2012 N WOODSTOCK ST ,201.69, 
2012 POINT BREEZE AVE ,1936.92, 
2012 ROWAN ST ,2468.21, 
2013 N CLEVELAND ST ,185.71, 
2013 S 07TH ST ,1454.98, 
2013 W GLENWOOD AVE ,16801.6, 
2014 CHELTEN AVE ,5859.54, 
2014 N MARSTON ST ,1557.27, 
2015 E HAZZARD ST ,3574.44, 
2015 KINSEY ST ,9443.14, 
2016 LATONA ST ,3946.72, 
2016 N GRATZ ST ,506.25, 
2016 S 04TH ST ,3130.81, 
2016 W ONTARIO ST ,1157.67, 
2017 N 09TH ST ,3167.37, 
2017 N 29TH ST ,1782.4, 
2017 N 63RD ST ,0, 
2017 RIDGE AVE ,838.39, 
2017 S 56TH ST ,2286.24, 
2018 E FLETCHER ST ,1909.04, 
2018 GRANITE ST ,5209.18, 
2018 W MAYFIELD ST ,9917.4, 
2018 W TORONTO ST ,8509.29, 
2018 WALNUT ST G225,0, 
2019 S 57TH ST ,2875.75, 
2019 WATKINS ST ,249.36, 
202 N 50TH ST ,3154.38, 
202 N 53RD ST ,11924.15, 
202 N 62ND ST ,4647, 
202 PARKER AVE ,82262.36, 
2020 FRANKFORD AVE ,23944.55, 
2020 N 04TH ST ,1735.15, 
2020 SPRING GARDEN ST ,14140.21, 
2021 N 31ST ST ,259.6, 
2021 WHARTON ST ,3729.9, 
2022 BUCKIUS ST ,5013.68, 
2022 CHURCH LN ,14334.78, 
2022 N 03RD ST ,1332.48, 
2022 S 61ST ST ,1232.56, 
2023 BROWN ST ,4129.75, 
2023 E ONTARIO ST ,4405.98, 
2023 N 20TH ST ,337.19, 
2023 N 31ST ST ,1601.62, 
2024 CHELTEN AVE ,7349.9, 
2024 N 56TH ST ,2047.61, 
2024 ORTHODOX ST ,2877.18, 
2024 S 57TH ST ,5253.85, 
2024 S 68TH ST ,3125.72, 
2024 SEPVIVA ST ,2167.83, 
2025 E HAZZARD ST ,8166.86, 
2025 E ORLEANS ST ,3968.55, 
2025 N 04TH ST ,3747.2, 
2025 N 05TH ST ,1332.48, 
2026 CECIL B MOORE AVE ,0, 
2026 N 15TH ST ,1601.14, 
2026 N ORIANNA ST ,2018.76, 
2026 RIDGE AVE ,10894.83, 
2026 S ALDEN ST ,10431.12, 
2026 W HAGERT ST ,4352.33, 
2027 MC KEAN ST ,40.11, 
2027 OAKFORD ST ,4529.21, 
2027 ORTHODOX ST ,791.73, 
2027 W HAGERT ST ,1762.82, 
2028 PRATT ST ,9453.05, 
2028 W HAGERT ST ,1904.81, 
2029 N 04TH ST ,2320.97, 
2029 N BAMBREY ST ,3041, 
2029 N WOODSTOCK ST ,5.39, 
2030 E RITTENHOUSE ST ,14775.3, 
2030 S 28TH ST ,15273.96, 
2031 MIFFLIN ST ,5089.92, 
2031 N 63RD ST ,0, 
2031 PARRISH ST ,10332.24, 
2031 W INDIANA AVE ,4332.91, 
2032 GRANITE ST ,5228.75, 
2032 N HOWARD ST ,0, 
2032 W BOSTON ST ,2116.47, 
2033 E STELLA ST ,6577.01, 
2033 N 20TH ST ,2024.99, 
2034 W ALLEGHENY AVE ,32817.61, 
2035 E GLENWOOD AVE ,31313.9, 
2035 MASTER ST ,3170.99, 
2035 N 29TH ST ,1968.21, 
2035 N BAMBREY ST ,2828.39, 
2035 W TORONTO ST ,5528.66, 
2036 CONLYN ST ,0, 
2036 S NORWOOD ST ,3674.63, 
2036 W BOSTON ST ,4152.49, 
2037 EASTBURN AVE ,23194.31, 
2037 MEDARY AVE ,10492.01, 
2037 N 29TH ST ,565.99, 
2038 S CHADWICK ST ,6509.27, 
204 E ALLEGHENY AVE ,4535.21, 
204 E WISHART ST ,3785.39, 
204 PARKER AVE ,82262.36, 
2040 MOUNTAIN ST ,1362.05, 
2040 N 29TH ST ,4753.48, 
2040 N BAMBREY ST ,1692.58, 
2040 RIDGE AVE ,5246.34, 
2040 W OXFORD ST ,2263.86, 
2040 WILDER ST ,755.78, 
2041 DENNIE ST ,2993.64, 
2041 N WOODSTOCK ST ,2928.38, 
2042 S 02ND ST ,7453.38, 
2042 S 70TH ST ,5228.41, 
2043 S CROSKEY ST ,3828.01, 
2044 S ALDEN ST ,2770.93, 
2045 N 02ND ST ,44020.87, 
2045 S 57TH ST ,3700.18, 
2046 E LEHIGH AVE ,9052.78, 
2046 S 68TH ST ,9223.67, 
2047 E HUNTINGDON ST ,2103.62, 
2048 HAINES ST ,14479.93, 
2048 W WESTMORELAND ST ,9763.86, 
2049 ALBRIGHT ST ,10330.86, 
2049 S 60TH ST ,2379.69, 
2049 W TIOGA ST ,3324.15, 
2049 WATKINS ST ,2052.74, 
205 N 63RD ST ,12632.3, 
2050 DICKINSON ST ,1542.23, 
2050 E ORLEANS ST ,4101.45, 
2054 DENNIE ST ,2992.94, 
2054 REED ST ,753.96, 
2054 STENTON AVE ,12594.24, 
2055 W STELLA ST ,7464.85, 
2057 CHELTEN AVE ,3627.58, 
2057 PIERCE ST ,3627.42, 
2058 MC CLELLAN ST ,3615.49, 
2058 W GLENWOOD AVE ,3981.25, 
2059 BELLEVUE ST ,2701.85, 
2059 CHELTEN AVE ,3627.58, 
2059 S 60TH ST ,1895.04, 
206 N 58TH ST ,2160.99, 
206 PARKER AVE ,82262.36, 
2060 E RUSH ST ,2673.68, 
2060 RIDGE AVE ,1249.56, 
2061 E RUSH ST ,529.06, 
2065 MERCY ST ,87.18, 
2066 N 02ND ST ,4639.23, 
2067 SIMON ST ,4400.57, 
2068 KINGSTON ST ,5167.47, 
2068 S 71ST ST ,1326.08, 
207 SULIS ST ,4918.25, 
2071 CHELTEN AVE ,1959.29, 
2071 E MONMOUTH ST ,3711.46, 
2072 E LETTERLY ST ,1605.45, 
2072 E VICTORIA ST ,4841.45, 
2074 CLARENCE ST ,4594.27, 
2074 MARGARET ST ,1708.05, 
2076 WILMOT ST ,3604.71, 
2081 E BOSTON ST ,3664.74, 
2084 E CLEARFIELD ST ,4239.13, 
2086 INDEPENDENCE ST ,218.11, 
2089 CARVER ST ,92.61, 
209 N VOGDES ST ,4490.44, 
209 S 50TH ST ,2189.63, 
21 E COLUMBIA AVE 307,808.2, 
21 E COLUMBIA AVE 407,1601.32, 
21 E COLUMBIA AVE 408,1658.51, 
21 SOLAR WAY ,1458.03, 
210 N 63RD ST ,0, 
2100 BOLTON ST ,10207.05, 
2100 CECIL B MOORE AVE ,3949.34, 
2100 CHELTEN AVE ,1224.69, 
2100 W INDIANA AVE ,2493.33, 
2101 N MARSHALL ST ,0, 
2101 W TIOGA ST ,24663.96, 
2103 E CLEARFIELD ST ,4632.29, 
2103 E ORLEANS ST ,3130.51, 
2103 W TIOGA ST ,19309.68, 
2104 MASTER ST ,5022.04, 
2105 E ORLEANS ST ,5896.39, 
2105 S FRAZIER ST ,5240.16, 
2105 W ONTARIO ST ,5526.69, 
2108 CECIL B MOORE AVE ,2058.85, 
2108 S 60TH ST ,5570.33, 
2109 N WOODSTOCK ST ,0, 
2109 S 72ND ST ,3774.51, 
2109 S CECIL ST ,2685.24, 
2109 SEYBERT ST ,3967.73, 
2109 W NEDRO AVE ,720.05, 
211 E BRINGHURST ST ,6154.5, 
2110 MASTER ST ,3393.81, 
2110 W CLEARFIELD ST ,2463.78, 
2110 W GLENWOOD AVE ,1331.96, 
2111 MORRIS ST ,778, 
2111 S DAGGETT ST ,6163.48, 
2112 W HUNTING PARK AVE ,6316.92, 
2114 BELLEVUE ST ,5468.01, 
2114 E MONMOUTH ST ,0, 
2114 GOULD ST ,6567.32, 
2114 N PERCY ST ,671.72, 
2114 PIERCE ST ,1642.65, 
2115 FERNON ST ,856.95, 
2115 W STELLA ST ,1113.81, 
2116 BELLEVUE ST ,809.09, 
2116 S 03RD ST ,4020.1, 
2117 E MONMOUTH ST ,2097.04, 
2117 GRANITE ST ,1034.26, 
2117 N 29TH ST ,438.91, 
2117 N UBER ST ,1057.46, 
2117 SEYBERT ST ,262.64, 
2117 W BERKS ST ,821.3, 
2118 N WOODSTOCK ST ,598.32, 
2118 S 64TH ST ,4593.68, 
2118 SIGEL ST ,3739.78, 
2119 E BIRCH ST ,2135.1, 
2119 N 10TH ST ,622.45, 
2119 N 28TH ST ,2749.34, 
212 N 08TH ST ,1224643.99, 
2120 E CLEMENTINE ST ,1425.16, 
2120 GILLINGHAM ST ,3908.4, 
2120 N DOVER ST ,2326.19, 
2121 N MARSTON ST ,1023.61, 
2121 ORTHODOX ST ,0, 
2122 S 60TH ST ,11385.82, 
2122 TITAN ST ,4526.2, 
2123 EARP ST ,2437.15, 
2123 FERNON ST ,1214.53, 
2123 N 28TH ST ,3075.01, 
2123 N FRANKLIN ST ,2067.79, 
2123 S ALDEN ST ,9680.81, 
2124 CECIL B MOORE AVE ,10387.56, 
2124 N 11TH ST ,6304.69, 
2124 N 18TH ST ,5658.9, 
2124 N 29TH ST ,629.35, 
2124 N GRATZ ST ,2673.23, 
2124 S 64TH ST ,25, 
2124 S GARNET ST ,5767.03, 
2124 W INDIANA AVE ,3326.99, 
2125 EARP ST ,3631.88, 
2125 N 22ND ST ,5887.07, 
2125 N FRANKLIN ST ,1749.92, 
2125 N ORIANNA ST ,331.3, 
2125 S 58TH ST ,6568.96, 
2125 W CAMBRIA ST ,4106.1, 
2126 MOUNTAIN ST ,1093.51, 
2126 PALETHORP ST ,594.25, 
2126 S 60TH ST ,5215.39, 
2127 E MONMOUTH ST ,2754.82, 
2127 MC KEAN ST ,1952.23, 
2127 N 32ND ST ,1217.38, 
2127 N FAIRHILL ST ,457.14, 
2127 OAKFORD ST ,4074.22, 
2128 N 09TH ST ,3481.68, 
2128 N CORLIES ST ,1585.11, 
2128 N DARIEN ST ,788.13, 
2128 S DAGGETT ST ,6163.48, 
2130 N 31ST ST ,1865.51, 
2130 S 57TH ST ,3189.11, 
2130 W CLEARFIELD ST ,4647.4, 
2130 W INDIANA AVE ,45.94, 
2130 W WESTMORELAND ST ,5372.71, 
2132 GOULD ST ,6836.41, 
2132 N NEWKIRK ST ,2383.47, 
2132 N PERCY ST ,750.03, 
2132 S 06TH ST ,1800.92, 
2133 E HUNTINGDON ST ,823.11, 
2133 MOORE ST ,5557.7, 
2133 S CECIL ST ,228.09, 
2134 CHELTEN AVE ,1915.92, 
2134 N 28TH ST ,392.44, 
2134 W TORONTO ST ,892.96, 
2135 FERNON ST ,2367.88, 
2135 MAGEE AVE ,4921.16, 
2135 N 10TH ST ,1992.17, 
2135 N 63RD ST ,16996.29, 
2135 N LAMBERT ST ,1676.27, 
2135 N VAN PELT ST ,3751.35, 
2135 W SOMERSET ST ,10132.44, 
2136 N UBER ST ,1690.97, 
2137 E ANN ST ,441.35, 
2137 N 21ST ST ,1918.23, 
2138 LATONA ST ,4898.62, 
2138 N VAN PELT ST ,2957.52, 
2138 SEARS ST ,4230.98, 
2138 W TORONTO ST ,5764.21, 
2139 EARP ST ,3146.73, 
2139 N 29TH ST ,3285.36, 
2139 W VENANGO ST ,10320.31, 
214 W ASHDALE ST ,10243.62, 
214 W DUNCANNON AVE ,7470.29, 
2140 W SPENCER AVE ,18550.57, 
2141 E ALBERT ST ,13.34, 
2141 N 22ND ST ,8300.11, 
2141 N DOVER ST ,101.44, 
2141 N STANLEY ST ,1699.85, 
2141 ORTHODOX ST ,3508.55, 
2142 N 19TH ST ,1318.95, 
2142 N VAN PELT ST ,245.89, 
2143 N 18TH ST ,6683.69, 
2143 N ORIANNA ST ,556.32, 
2144 HOMER ST ,8381.4, 
2144 MC CLELLAN ST ,4864.28, 
2144 N NATRONA ST ,567.38, 
2145 CHELTEN AVE ,23640.47, 
2145 N NATRONA ST ,2893.36, 
2149 E STELLA ST ,1919.99, 
2149 N FRANKLIN ST ,1747.21, 
2149 N UBER ST ,815.76, 
215 N ALDEN ST ,3817.23, 
2151 E STELLA ST ,1597.88, 
2151 ELKINS AVE ,11930.54, 
2151 N CORLIES ST ,2942.97, 
2151 W 65TH AVE ,5930.74, 
2153 66TH AVE ,2801.85, 
2153 E BIRCH ST ,2014.73, 
2153 E MONMOUTH ST ,1404.86, 
2153 S WOODSTOCK ST ,6963.48, 
2157 N NATRONA ST ,2318.29, 
2159 N VAN PELT ST ,3515.34, 
216 W RITTENHOUSE ST ,0, 
2164 N 32ND ST ,2094.04, 
217 E WILLARD ST ,3769.23, 
217 N RUBY ST ,4705.42, 
217 SHEDAKER ST ,5151.17, 
2170 FURLEY ST ,7920.62, 
2170 N DARIEN ST ,923.26, 
218 E HAINES ST ,14743.53, 
218 N 50TH ST ,8091.44, 
2182 E HUNTINGDON ST ,1660.99, 
2186 HOMER ST ,3613.29, 
219 BERKLEY ST ,6237.61, 
219 E ELEANOR ST ,13879.36, 
219 E LIPPINCOTT ST ,3796.52, 
219 N 11TH ST ,10247.34, 
219 N 59TH ST ,2611.63, 
219 S ALDEN ST ,3436.37, 
219 S CECIL ST ,3750.74, 
219 W GIRARD AVE ,1424.45, 
2196 HOMER ST ,18128.92, 
22 E SHARPNACK ST ,2321.55, 
22 S 59TH ST ,3107.82, 
220 N PEACH ST ,8869.56, 
220 S 16TH ST ,54.33, 
220 S 50TH ST ,202.71, 
220 W GLENWOOD AVE ,663.12, 
2200 INGERSOLL ST ,2943.3, 
2200 RIDGE AVE ,4817.93, 
2200 WINTON ST ,5559.3, 
2201 BRYN MAWR AVE ,671690.1, 
2201 CHESTNUT ST 101,0, 
2201 JACKSON ST ,24648.48, 
2201 N AMERICAN ST ,3986.45, 
2203 JACKSON ST ,12212.59, 
2203 S 22ND ST ,2477.56, 
2204 N 29TH ST ,5904.06, 
2204 N CLEVELAND ST ,3035.25, 
2204 RUFFNER ST ,2435.63, 
2204 W VENANGO ST ,4214.04, 
2208 N GRATZ ST ,3289.66, 
2208 S MILDRED ST ,5092.86, 
2209 CORAL ST ,568.37, 
2209 LEAGUE ST ,1105.41, 
2209 N 07TH ST ,222, 
221 N CREIGHTON ST ,4261.74, 
2210 MARGARET ST ,5415.63, 
2210 N 21ST ST ,2034.01, 
2210 N DELHI ST ,1164.48, 
2210 N NATRONA ST ,1938.69, 
2211 BELGRADE ST ,1941.76, 
2211 LEAGUE ST ,1281.92, 
2211 MC KEAN ST ,6666.08, 
2212 HOBSON ST ,3193.33, 
2212 N 10TH ST ,1184.25, 
2213 LEAGUE ST ,1792.87, 
2213 MELVIN ST ,8855.28, 
2213 SEYBERT ST ,3222.74, 
2214 CORAL ST ,3302.63, 
2214 DICKINSON ST ,3069.27, 
2214 E FLETCHER ST ,7252.52, 
2214 N 04TH ST ,6731.75, 
2214 N 58TH ST ,7815.99, 
2214 SIGEL ST ,5660.42, 
2215 LEAGUE ST ,1281.92, 
2215 SEYBERT ST ,3338.13, 
2215 WHARTON ST ,4933.9, 
2216 HOFFNAGLE ST ,4913.7, 
2217 N COLORADO ST ,1387.66, 
2217 W DAUPHIN ST ,3284.28, 
2217 W TIOGA ST ,6216.61, 
2217 WILDER ST ,4427.99, 
2219 EMERALD ST ,967.22, 
2219 W NORRIS ST ,2441.42, 
2219 W SERGEANT ST ,4418.15, 
222 E CLAPIER ST ,1880.66, 
222 E HORTTER ST ,5871.52, 
222 E WISTER ST ,2909.64, 
2220 W CUMBERLAND ST ,7863.04, 
2221 CEDAR ST ,2731.7, 
2221 FERNON ST ,3066.75, 
2221 N 17TH ST ,2455.31, 
2222 AMBER ST ,571.89, 
2222 MIFFLIN ST ,2153.76, 
2223 N 33RD ST ,7056.46, 
2223 ORTHODOX ST ,8136.79, 
2224 N ORKNEY ST ,390.49, 
2224 S 56TH ST ,8059.41, 
2225 N HANCOCK ST ,3476.82, 
2226 CROSS ST ,1287.66, 
2226 INGERSOLL ST ,2135.79, 
2226 N 20TH ST ,2647.13, 
2226 S 70TH ST ,4081.8, 
2226 W INDIANA AVE ,2347.19, 
2227 N 52ND ST ,54981.46, 
2227 OAKFORD ST ,1634.64, 
2228 GEORGES LN ,9282.92, 
2228 GERRITT ST ,3114.86, 
2228 N 18TH ST ,1663.52, 
2228 N BANCROFT ST ,2040.19, 
2228 W TIOGA ST ,0, 
2229 N 08TH ST ,400.57, 
2229 W CAMBRIA ST ,8745.65, 
223 DAWSON ST ,51553.68, 
223 N CECIL ST ,3525.35, 
2230 MANTON ST ,1247.73, 
2230 N CHADWICK ST ,279.02, 
2231 BRYN MAWR AVE ,39334.32, 
2231 W DAUPHIN ST ,2836.96, 
2232 JEFFERSON ST ,3607.19, 
2232 N 02ND ST ,454.34, 
2232 WATERLOO ST ,193.43, 
2233 INGERSOLL ST ,2513.12, 
2233 MC CLELLAN ST ,4945.74, 
2233 WINTON ST ,3860.42, 
2234 N 26TH ST ,4935.3, 
2234 N 29TH ST ,5985.8, 
2235 CEDAR ST ,7962.74, 
2235 FERNON ST ,2618.85, 
2235 FITZWATER ST ,8551.98, 
2235 N REESE ST ,690.41, 
2235 W INDIANA AVE ,1829.16, 
2236 N BANCROFT ST ,1031.93, 
2236 WHARTON ST ,3549.78, 
2238 DICKINSON ST ,975.83, 
2238 E MONMOUTH ST ,3858.39, 
2238 FONTAIN ST ,2423.41, 
2238 RUFFNER ST ,8060.16, 
2239 N 18TH ST ,3026.24, 
2239 SIMON ST ,0, 
2239 W OXFORD ST ,4667.47, 
224 W RITTENHOUSE ST ,3554.09, 
2240 N BROAD ST ,35706.85, 
2240 N LAMBERT ST ,2583.57, 
2240 S 05TH ST ,1520.01, 
2240 TASKER ST ,8895.81, 
2242 N 07TH ST ,201.69, 
2242 N BANCROFT ST ,3630.39, 
2242 N GRATZ ST ,4947.1, 
2242 W ALLEGHENY AVE ,10176.63, 
2242 W ESTAUGH ST ,3909.41, 
2242 W LEHIGH AVE ,6433.3, 
2244 N CARLISLE ST ,7338.68, 
2245 N 02ND ST ,810.74, 
2245 N BROAD ST ,19123.05, 
2246 N 07TH ST ,1258.76, 
2246 S 70TH ST ,3520.03, 
2247 INGERSOLL ST ,2767.57, 
2248 N 07TH ST ,150617.55, 
2248 N 21ST ST ,3723.59, 
2249 N 26TH ST ,4104.46, 
225 E INDIANA AVE ,2539.78, 
225 E STELLA ST ,955.8, 
225 N 54TH ST ,726.04, 
225 N HOBART ST ,4893.86, 
2250 E TIOGA ST ,3382.43, 
2251 N 12TH ST ,1581.44, 
2252 S NORWOOD ST ,5132.73, 
2253 N 12TH ST ,2007.07, 
2253 N 33RD ST ,5282.49, 
2253 N PHILIP ST ,60.8, 
2253 S DARIEN ST ,4806.56, 
2254 N CLEVELAND ST ,2221.01, 
2254 N LAMBERT ST ,3150.32, 
2255 N BOUVIER ST ,3247.05, 
2256 N 09TH ST ,1725.57, 
2256 N CLEVELAND ST ,1754.94, 
2257 N GRATZ ST ,3531.11, 
2259 E ONTARIO ST ,1537.93, 
2259 N SYDENHAM ST ,1467.85, 
2259 RUFFNER ST ,803.05, 
226 ELLSWORTH ST ,2554.48, 
2261 N 18TH ST ,3524.94, 
2262 E WILLIAM ST ,2949.95, 
2263 N 19TH ST ,236.25, 
2263 N PHILIP ST ,316.27, 
2263 PALETHORP ST ,0, 
2264 E MONMOUTH ST ,2972.67, 
2264 N 15TH ST ,4350.95, 
2264 N 21ST ST ,684.42, 
2264 N GRATZ ST ,5433.7, 
2264 PALETHORP ST ,0, 
2265 N HOWARD ST ,2474.85, 
2266 PALETHORP ST ,0, 
2267 E ONTARIO ST ,3959.73, 
2267 N PHILIP ST ,60.8, 
227 N ALDEN ST ,2380.3, 
227 S 44TH ST ,47.24, 
227 S 62ND ST ,11686.74, 
227 ZERALDA ST ,5664.45, 
2273 N PHILIP ST ,73, 
228 APSLEY ST ,28.34, 
228 E DURHAM ST ,5463.95, 
228 N 59TH ST ,1461.62, 
228 N 63RD ST ,3772.11, 
228 PARKER AVE ,82262.36, 
228 W ONTARIO ST ,6841.45, 
228 W TIOGA ST ,445.52, 
229 E CLAPIER ST ,4812.29, 
23 E SEYMOUR ST ,1354.79, 
23 N ASHMEAD PL ,5928.67, 
230 APSLEY ST ,8827.11, 
230 N EDGEWOOD ST ,4128.75, 
2301 W LEHIGH AVE ,0, 
2301 WASHINGTON AVE ,0, 
2302 N LAMBERT ST ,3290.21, 
2304 FEDERAL ST ,2437.51, 
2305 N 21ST ST ,2741.39, 
2305 S PERCY ST ,5580.93, 
2306 N BOUVIER ST ,3391.48, 
2307 CROSS ST ,2351.93, 
2307 N 21ST ST ,2260.75, 
2308 E HAZZARD ST ,970.99, 
2309 N CLEVELAND ST ,2472.74, 
231 BERKLEY ST ,7599.38, 
2310 N 26TH ST ,4014.24, 
2310 TURNER ST ,945.6, 
2310 W OAKDALE ST ,6585.25, 
2311 W ATLANTIC ST ,4146.04, 
2311 W YORK ST ,1718.86, 
2312 N 31ST ST ,2996.16, 
2313 N 05TH ST ,1673.36, 
2313 PIERCE ST ,2915.09, 
2314 W FIRTH ST ,3312.35, 
2315 N 27TH ST ,4422.3, 
2315 W LEHIGH AVE ,2337.94, 
2316 N COLORADO ST ,1777.9, 
2316 W VENANGO ST ,6295.83, 
2317 N FAIRHILL ST ,1329.32, 
2318 SAINT ALBANS ST ,2683.91, 
2319 E SERGEANT ST ,3516.78, 
2319 MIFFLIN ST ,1679.83, 
2319 N COLORADO ST ,2169.79, 
2319 N FAIRHILL ST ,1812.81, 
2319 N OPAL ST ,1645.5, 
2319 WILDER ST ,3745.2, 
232 S 45TH ST ,23019.9, 
2320 MC CLELLAN ST ,12212.45, 
2320 N 29TH ST ,3307.49, 
2320 N 50TH ST ,12910.59, 
2321 E FIRTH ST ,1397.93, 
2321 FRANKFORD AVE ,125.07, 
2322 TURNER ST ,1403.5, 
2322 W VENANGO ST ,4482.48, 
2323 W YORK ST ,2247.78, 
2324 S BEULAH ST ,1184.84, 
2325 E NORRIS ST ,3422.49, 
2325 PIERCE ST ,2675.51, 
2326 N LAMBERT ST ,4014.12, 
2326 PARRISH ST ,17141.22, 
2327 CECIL B MOORE AVE ,3940.45, 
2328 DICKINSON ST ,3744.47, 
2328 E CLEARFIELD ST ,2851.06, 
2328 N 31ST ST ,932.78, 
2328 N CAMAC ST ,758.28, 
2329 FEDERAL ST ,0, 
2329 S BUCKNELL ST ,8198.08, 
2329 W CLEARFIELD ST ,9658.83, 
233 E WESTMORELAND ST ,1926.67, 
2330 79TH AVE ,23823.35, 
2330 GERRITT ST ,1185.63, 
2330 W SERGEANT ST ,4075.54, 
2331 CECIL B MOORE AVE ,8906.5, 
2331 GERMANTOWN AVE ,1722.53, 
2331 GERRITT ST ,1877.69, 
2331 N GARNET ST ,3241.54, 
2331 N WOODSTOCK ST ,1472.64, 
2332 W SERGEANT ST ,4075.54, 
2333 GERMANTOWN AVE ,1873.02, 
2333 RIPLEY ST ,0, 
2333 WATKINS ST ,1967.54, 
2334 N BROAD ST ,3856.49, 
2334 N CLEVELAND ST ,2223.89, 
2335 N 17TH ST ,419.41, 
2335 W CUMBERLAND ST ,9906.24, 
2336 CHRISTIAN ST ,7360.78, 
2337 GERRITT ST ,2940.9, 
2337 N BEECHWOOD ST ,2706.78, 
2338 NICHOLAS ST ,9055.84, 
2338 TURNER ST ,3504.94, 
2338 W LEHIGH AVE ,9061.54, 
2339 MOORE ST ,3700.34, 
2339 S FRANKLIN ST ,4756.22, 
234 N WILTON ST ,5841.12, 
234 RAMSEY ST ,3259.38, 
2340 E BOSTON ST ,10.46, 
2340 GREENWICH ST ,1029.78, 
2340 N 04TH ST ,507.21, 
2340 W NORRIS ST ,4526.25, 
2340 W SERGEANT ST ,3419.52, 
2341 N 17TH ST ,3070.17, 
2341 N 25TH ST ,2432.63, 
2341 N 26TH ST ,1660.57, 
2341 N CARLISLE ST ,3334.78, 
2341 S 04TH ST ,7440.27, 
2342 N CAMAC ST ,1139.13, 
2342 NICHOLAS ST ,8325.98, 
2342 SEYBERT ST ,907.87, 
2342 W FIRTH ST ,3713.87, 
2344 MOUNTAIN ST ,3081.26, 
2345 N 30TH ST ,3011.38, 
2346 W MONTGOMERY AVE ,2522.82, 
2347 N 25TH ST ,4517.35, 
2347 N COLORADO ST ,888.92, 
2348 N 06TH ST ,1584.89, 
2348 N 22ND ST ,688.19, 
2348 NICHOLAS ST ,4466.72, 
2349 N 22ND ST ,1943.69, 
235 E WESTMORELAND ST ,4882.08, 
235 N GROSS ST ,5235.92, 
235 S ITHAN ST ,10236.29, 
235 W CLARKSON AVE ,120.46, 
235 W SCHOOL HOUSE LN ,32282.18, 
2351 N CLEVELAND ST ,3275.6, 
2351 N LEITHGOW ST ,2478.23, 
2351 S BEULAH ST ,1184.78, 
2352 N 29TH ST ,6909.54, 
2352 PALETHORP ST ,60.8, 
2354 GERRITT ST ,1744.48, 
2356 N BOUVIER ST ,716.51, 
2357 N 19TH ST ,3010.42, 
2358 N CLEVELAND ST ,1823.78, 
2358 N LEITHGOW ST ,814.88, 
2359 N 18TH ST ,2403.02, 
236 W TIOGA ST ,1563.22, 
2360 N BOUVIER ST ,2884.2, 
2362 N 18TH ST ,2087.37, 
2364 N 04TH ST ,965.34, 
237 N RUBY ST ,4640.6, 
237 W QUEEN LN ,10991.96, 
238 E QUEEN LN ,3506.21, 
238 MANHEIM ST ,8341.14, 
238 W BIRCH ST ,957.71, 
238 W TIOGA ST ,2210.1, 
239 HANSBERRY ST ,10898.52, 
24 N SAINT BERNARD ST ,8271.73, 
24 S 44TH ST ,861.72, 
24 S 59TH ST ,81.16, 
240 ROBERTS AVE ,35732.21, 
240 W MENTOR ST ,4939.17, 
2400 E TIOGA ST ,131916.55, 
2400 N NATRONA ST ,3358.25, 
2400 N OPAL ST ,2361.97, 
2400 W LEHIGH AVE ,9056.71, 
2400 W NORRIS ST ,1928.81, 
2401 S 72ND ST ,682.79, 
2401 W LEHIGH AVE ,6357.71, 
2401R S 72ND ST ,682.79, 
2402 N CLARION ST ,584.65, 
2402 N OPAL ST ,1755.13, 
2403 N MYRTLEWOOD ST ,2508.49, 
2403 W FIRTH ST ,3106.66, 
2404 N 29TH ST ,1824.72, 
2404 N FAIRHILL ST ,879.31, 
2404 W OXFORD ST ,3662.43, 
2405 N 05TH ST ,724.4, 
2405 N CLARION ST ,1290.19, 
2405 S 72ND ST ,682.79, 
2406 N OPAL ST ,1606.13, 
2406 W CLEARFIELD ST ,1895.04, 
2406 W FIRTH ST ,642.6, 
2407 CARPENTER ST ,6092.39, 
2407 MASTER ST ,1760.2, 
2408 N 18TH ST ,3399.22, 
2408 N OPAL ST ,1755.13, 
2409 N CLEVELAND ST ,3141.78, 
2409 S 72ND ST ,682.79, 
2409 S REESE ST ,5887.91, 
